,BACB requirements,Years certified,Years supervisor,Area of study - Selected Choice,Area of study - Other - Text,Job classification - Selected Choice,Job classification - Other - Text,Place of employment - Selected Choice,Place of employment - Other - Text,State,Supervision mode - Selected Choice,Supervision mode - Other - Text,Supervision format,Supervision training - Selected Choice,Supervision training - Other - Text,100% fieldwork candidates,100% fieldwork pass rate,Discontinued fieldwork,Supervision resources - Selected Choice,Supervision resources - Other - Text,Confirm required skill set,Number of candidates,Literature for new competency,Professional groups,Outside training area (yes/no),Credentialing requirements,Training and supervision,Allotted hours,Number of clients,60% fieldwork hours,Who dictates caseload,Supervise RBTs (yes/no),RBT supervision %,Peer evaluate,Past 12 months candidates,Supervision schedule,Scheduled hours,Practice skill set,Written supervision contract,Positive and corrective feedback,Supervision termination clause,Behavior skills training,Discourage distractions,Evaluate supervisee performance,Performance expectations,Written evaluation system,Supervision fieldwork protocol source - Selected Choice,Supervision fieldwork protocol source - Other - Text,Document feedback,Review supervision contract,Evaluate client performance,Return communications within 48,Supervision fidelity,Instructions and demonstration,Take baseline,Detect barriers to supervision,BST case presentation,Send agenda,Immediate feedback,Continue relationship,Observe body language,Schedule contacts,Maintain positive rapport,Self-assess interpersonal skills,Group supervision,Create group activities,Supervisory study groups,Include ethics,Arrive on time,Discuss how to give feedback,Schedule direct observations,Schedule standing appointments,Review literature,Meeting notes,Attend conferences,Peer review opportunity,Participate in peer review,Seek mentorship,Area of study,Job classification,Place of employment,Supervision mode,Supervision training,Supervision resources,Supervision fieldwork protocol source,PECC 5.01,PECC 5.02,PECC 5.03,PECC 5.04,PECC 5.05,PECC 5.06,PECC 5.07,MISC
373,Yes,>5 years,>5 years,Behavior analysis,,Behavior analyst,,Home-based,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Behavior analyst,Home-based,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
374,Yes,3-5 years,3-5 years,Education,,Behavior analyst,,Clinic,,Midwest,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,0.0,0.0,0.0,"Training on supervision practices,Supervision Curriculum",,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Behavior analyst,Clinic,Agency,"Internet based continuing education,Conferences or workshops","Training on supervision practices,Supervision Curriculum",,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
375,Yes,3-5 years,0-2 years,Behavior analysis,,Behavior analyst,,Other,,Outside US,Other,School District,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,,,"Protected office planning time,Performance feedback",,4.0,1-3 candidates,4.0,5.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,4-7 clients/consumers,5.0,Self,No,I do not supervise RBTs.,3.0,1-3 candidates,4.0,1-5 hours a week,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training",,5.0,5.0,4.0,5.0,1.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,Yes,3.0,4.0,Behavior analysis,Behavior analyst,Other,OtherSchool District,"Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Performance feedback","Graduate course work material,Mentorship,Live CEU events,Online CEU training",4.193023255813953,4.75,4.0,3.0,4.8,4.666666666666667,3.5,4.115384615384615
376,Yes,3-5 years,3-5 years,Education,,Behavior analyst,,Clinic,,Midwest,"Agency,Individual private practice",,Group and Individual fieldwork,Internet based continuing education,,2.0,2.0,0.0,Other,None - I found my own supervision curriculum,4.0,4-7 candidates,5.0,5.0,No,4.441860465116279,4.523255813953488,0 hours,1-3 clients/consumers,3.0,Self,No,10% of patient's direct services,3.0,4-7 candidates,1.0,1-5 hours a week,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,"Graduate course work material,Online CEU training,Published supervision curriculum,Other",,5.0,5.0,5.0,5.0,1.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,No,3.3248407643312103,3.0,Education,Behavior analyst,Clinic,"Agency,Individual private practice",Internet based continuing education,OtherNone - I found my own supervision curriculum,"Graduate course work material,Online CEU training,Published supervision curriculum,Other",3.9930232558139536,3.5,4.0,4.8,5.0,5.0,4.0,4.28172464478197
377,Yes,>5 years,3-5 years,Education,,Professor,,University or college,,Midwest,University,,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops",,7.0,7.0,0.0,"Administrative assistance,Training on supervision practices,Supervision Curriculum",,4.0,4-7 candidates,4.0,4.0,No,4.441860465116279,4.523255813953488,6-10 hours a week,4-7 clients/consumers,5.0,Self,No,I do not supervise RBTs.,1.0,7-11 candidates,5.0,6-10 hours a week,4.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,Graduate course work material,,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,Yes,5.0,5.0,Education,Professor,University or college,University,"Internet based continuing education,Conferences or workshops","Administrative assistance,Training on supervision practices,Supervision Curriculum",Graduate course work material,3.9930232558139536,5.0,4.0,5.0,5.0,4.833333333333333,3.75,4.423076923076923
378,Yes,3-5 years,3-5 years,Psychology,,Behavior analyst,,Other,,Outside US,Individual private practice,,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Other",,0.0,,,Training on supervision practices,,4.0,1-3 candidates,3.0,5.0,Yes,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Psychology,Behavior analyst,Other,Individual private practice,"Internet based continuing education,Conferences or workshops,Other",Training on supervision practices,,3.8695122840271194,4.051201141979557,4.025139664804469,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
379,Yes,3-5 years,3-5 years,Behavior analysis,,Behavior analyst,,Other,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Behavior analyst,Other,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
380,Yes,>5 years,3-5 years,Education,,Behavior analyst,,Clinic,,Northeast,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,3.0,3.0,0.0,"Protected office planning time,Monetary compensation,Supervision Curriculum",,4.0,4-7 candidates,4.0,3.0,No,4.441860465116279,4.523255813953488,6-10 hours a week,7-11 clients/consumer,4.0,Employer,Yes,5% of patient's direct services,1.0,4-7 candidates,1.0,6-10 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Behavior analyst,Clinic,Agency,"Internet based continuing education,Conferences or workshops","Protected office planning time,Monetary compensation,Supervision Curriculum",,3.6695122840271197,3.544299620524666,4.5,3.8345681648339918,4.47176690782133,4.285637449860025,3.6155450699481992,3.8582891939231483
381,Yes,3-5 years,3-5 years,Psychology,,Behavior analyst,,Home-based,,West,Agency,,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops",,3.0,3.0,0.0,"Training on supervision practices,Monetary compensation",,5.0,1-3 candidates,5.0,3.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,7-11 clients/consumer,4.0,Employer,Yes,15% of patient's direct services,2.0,1-3 candidates,2.0,6-10 hours a week,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training",,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,No,3.3248407643312103,3.0,Psychology,Behavior analyst,Home-based,Agency,"Internet based continuing education,Conferences or workshops","Training on supervision practices,Monetary compensation","Graduate course work material,Mentorship,Live CEU events,Online CEU training",3.793023255813954,4.0,5.0,3.8,4.6,5.0,5.0,3.974032337089662
382,Yes,>5 years,3-5 years,Education,,Behavior analyst,,Other,,Northeast,University,,Intensive practicum,"Institution based course work,Internet based continuing education,Conferences or workshops",,1.0,0.0,0.0,Monetary compensation,,4.0,7-11 candidates,4.0,3.0,No,4.441860465116279,4.523255813953488,0 hours,12+ clients/consumers,4.0,Employer,No,I do not supervise RBTs.,1.0,12+ candidates,5.0,6-10 hours a week,2.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,Graduate course work material,,3.0,3.0,4.0,5.0,3.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,5.0,3.0,2.0,5.0,5.0,1.0,2.0,5.0,3.0,1.0,5.0,4.0,4.0,4.0,No,3.3248407643312103,3.0,Education,Behavior analyst,Other,University,"Institution based course work,Internet based continuing education,Conferences or workshops",Monetary compensation,Graduate course work material,3.3930232558139535,4.75,3.0,3.6,3.8,3.1666666666666665,3.5,3.127878490935816
383,Yes,3-5 years,0-2 years,Behavior analysis,,Behavior analyst,,Clinic,,South,University,,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,0.0,,,Supervision Curriculum,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Behavior analyst,Clinic,University,"Internet based continuing education,Conferences or workshops",Supervision Curriculum,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
384,Yes,,,,,,,,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,,,,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
385,Yes,3-5 years,3-5 years,Education,,Behavior analyst,,Home-based,,West,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,,,Performance feedback,,5.0,1-3 candidates,4.0,3.0,No,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Behavior analyst,Home-based,Agency,"Internet based continuing education,Conferences or workshops,Individual mentoring",Performance feedback,,3.6695122840271197,4.051201141979557,4.525139664804469,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
386,Yes,0-2 years,0-2 years,Other,,Behavior analyst,,Clinic,,Outside US,Individual private practice,,Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops",,0.0,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Other,Behavior analyst,Clinic,Individual private practice,"Institution based course work,Internet based continuing education,Conferences or workshops",,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
387,Yes,,,,,,,,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,,,,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
388,Yes,3-5 years,3-5 years,Psychology,,Psychologist,,Home-based,,Outside US,"Agency,Individual private practice",,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Psychology,Psychologist,Home-based,"Agency,Individual private practice","Internet based continuing education,Conferences or workshops,Individual mentoring",,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
